CODIGO;DESCRICAO
2790201;Fabricaçăo de eletrodos, contatos e outros artigos de carvăo e grafita para uso elétrico, eletroímăs e isoladores
2790202;Fabricaçăo de equipamentos para sinalizaçăo e alarme
2790299;Fabricaçăo de outros equipamentos e aparelhos elétricos năo especificados anteriormente
2811900;Fabricaçăo de motores e turbinas, peças e acessórios, exceto para aviőes e veículos rodoviários
2812700;Fabricaçăo de equipamentos hidráulicos e pneumáticos, peças e acessórios, exceto válvulas
2813500;Fabricaçăo de válvulas, registros e dispositivos semelhantes, peças e acessórios
2814301;Fabricaçăo de compressores para uso industrial, peças e acessórios
2814302;Fabricaçăo de compressores para uso năo industrial, peças e acessórios
2815101;Fabricaçăo de rolamentos para fins industriais
2815102;Fabricaçăo de equipamentos de transmissăo para fins industriais, exceto rolamentos
2821601;Fabricaçăo de fornos industriais, aparelhos e equipamentos năo-elétricos para instalaçőes térmicas, peças e acessórios
2821602;Fabricaçăo de estufas e fornos elétricos para fins industriais, peças e acessórios
2822401;Fabricaçăo de máquinas, equipamentos e aparelhos para transporte e elevaçăo de pessoas, peças e acessórios
2822402;Fabricaçăo de máquinas, equipamentos e aparelhos para transporte e elevaçăo de cargas, peças e acessórios
2823200;Fabricaçăo de máquinas e aparelhos de refrigeraçăo e ventilaçăo para uso industrial e comercial, peças e acessórios
2824101;Fabricaçăo de aparelhos e equipamentos de ar condicionado para uso industrial
2824102;Fabricaçăo de aparelhos e equipamentos de ar condicionado para uso năo-industrial
2825900;Fabricaçăo de máquinas e equipamentos para saneamento básico e ambiental, peças e acessórios
2829101;Fabricaçăo de máquinas de escrever, calcular e outros equipamentos năo-eletrônicos para escritório, peças e acessórios
2829199;Fabricaçăo de outras máquinas e equipamentos de uso geral năo especificados anteriormente, peças e acessórios
2831300;Fabricaçăo de tratores agrícolas, peças e acessórios
2832100;Fabricaçăo de equipamentos para irrigaçăo agrícola, peças e acessórios
2833000;Fabricaçăo de máquinas e equipamentos para a agricultura e pecuária, peças e acessórios, exceto para irrigaçăo
2840200;Fabricaçăo de máquinas-ferramenta, peças e acessórios
2851800;Fabricaçăo de máquinas e equipamentos para a prospecçăo e extraçăo de petróleo, peças e acessórios
2852600;Fabricaçăo de outras máquinas e equipamentos para uso na extraçăo mineral, peças e acessórios, exceto na extraçăo de petróleo
2853400;Fabricaçăo de tratores, peças e acessórios, exceto agrícolas
2854200;Fabricaçăo de máquinas e equipamentos para terraplenagem, pavimentaçăo e construçăo, peças e acessórios, exceto tratores
2861500;Fabricaçăo de máquinas para a indústria metalúrgica, peças e acessórios, exceto máquinas-ferramenta
2862300;Fabricaçăo de máquinas e equipamentos para as indústrias de alimentos, bebidas e fumo, peças e acessórios
2863100;Fabricaçăo de máquinas e equipamentos para a indústria tęxtil, peças e acessórios
2864000;Fabricaçăo de máquinas e equipamentos para as indústrias do vestuário, do couro e de calçados, peças e acessórios
